"","STU_ID","BYS4OCC","BYS7OCC","BYS34A","BYS34B","SEX","RACE","BIRTHMO","BIRTHYR","BYSES","BYFAMINC","BY2XRSTD","BY2XMSTD","BY2XSSTD","BY2XHSTD","BY2XCOMP","F12XRSTD","F12XMSTD","F12XSSTD","F12XHSTD","F12XCOMP","F22XRSTD","F22XMSTD","F22XSSTD","F22XHSTD","F22XCOMP","HSSTAT","OCCCODE1","RINCOME","F3ATTEND","F4BXOCCD","F4HI99","F4QWT","F4BYPNWT","F4PNLWT","F4F1PNWT","F4F2PNWT","F4CXTWT","F4PAQWT","F4TRSCWT","F4QWT92G","F4HHDG"
"1",124902,15,2,2,2,1,4,5,74,-0.529,10,55.96,50.27,55.57,54.58,53.38,60.57,48.34,50.28,68.99,54.78,61.41,49.77,52.49,56.99,56,1,-9,3000,5,8,23000,83.3559,91.345,95.1164,91.3099,87.4434,88.6781,100.5989,100.5711,83.3559,1
"2",124915,14,2,8,8,1,4,3,74,-0.377,10,63.1,51.52,53.23,68.48,57.91,58.23,57.49,59.44,66.81,58.42,58.34,59.84,62.17,64.63,59.76,1,-6,6000,24,13,7000,83.3559,91.345,95.1164,91.3099,87.4434,88.6781,100.5989,100.5711,83.3559,1
"3",124916,15,8,1,7,2,4,11,73,-0.859,10,60.99,47.56,54.83,59.21,54.64,59.54,58.73,50.87,49.71,59.78,59.33,50.38,53.58,57.33,55.22,1,-6,1300,24,26,-1,83.3549,85.3569,87.3401,86.2924,82.3762,91.5299,84.5818,104.2435,83.3549,4
"4",124932,15,8,8,8,2,4,7,74,-0.191,10,45.34,46.6,42.58,46.97,45.67,44.19,51.13,51.2,45.44,47.53,49.59,45.03,43.49,39.64,47.13,1,-6,10062,24,17,29000,83.3549,85.3569,87.3401,86.2924,82.3762,91.5299,99.508,104.2435,83.3549,3
"5",124944,1,8,2,2,2,4,1,74,-0.319,11,55.93,60.22,45.68,63.58,58.74,61.38,58.61,48.89,56.19,60.7,57.62,54.26,52.3,62.07,56.38,1,-6,13500,21,17,30000,83.3549,85.3569,87.3401,86.2924,82.3762,91.5299,99.508,104.2435,83.3549,4
"6",124947,6,8,1,7,2,4,7,74,-0.292,12,58.91,55.04,37.42,53.29,57.55,55.25,56.78,42.49,49.93,56.45,52.53,56.73,46.11,47.18,54.97,1,-6,1500,24,38,32000,83.3549,85.3569,87.3401,86.2924,82.3762,91.5299,99.508,104.2435,83.3549,4
"7",124958,99,99,99,99,9,9,99,99,99.999,99,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,99.99,99.99,99.99,99.99,99.99,1,-6,12000,16,38,37000,101.1715,0,0,0,100.6315,119.9872,116.4645,147.0174,101.1715,1
"8",124964,99,99,99,99,9,9,99,99,99.999,99,-9,-9,-9,-9,-9,35.78,39.32,40.35,34.19,36.74,33.57,42.17,46.2,44.59,37.01,1,4,20000,-9,16,111000,81.6939,0,0,119.4849,100.3131,104.0165,123.2563,105.627,81.6939,-3
"9",124966,15,2,1,2,2,4,3,74,-0.601,7,66.85,58.63,64.3,73.26,63.78,50.17,64.36,57.32,61.38,57.78,60.12,55.37,58.99,61.08,58.32,1,-6,12000,24,35,38000,83.3549,85.3569,87.3401,86.2924,82.3762,91.5299,99.508,104.2435,83.3549,4
"10",124968,1,8,2,2,1,4,3,74,-0.07,10,58.58,59.85,60.11,70.35,59.97,61.57,60.23,65.08,72.89,61.66,64.69,65.07,65.25,63.7,65.97,1,-6,8000,24,15,41000,83.3559,91.345,95.1164,91.3099,87.4434,88.6781,100.5989,100.5711,83.3559,4
